"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","81.25","81.25","81.25","81.25","","-2.64%"
"11/29/2022","83.45","83.45","83.45","83.45","","2.08%"
"11/28/2022","81.75","81.75","81.75","81.75","","-9.02%"
"11/25/2022","89.85","89.85","89.85","89.85","","-0.06%"
"11/23/2022","89.90","89.90","89.90","89.90","","6.71%"
"11/22/2022","84.25","84.25","84.25","84.25","","-5.50%"
"11/21/2022","89.15","89.15","89.15","89.15","","8.85%"
"11/18/2022","81.90","81.92","81.92","81.92","","0.55%"
"11/17/2022","81.45","81.45","81.45","81.45","","10.29%"
"11/16/2022","73.85","73.87","73.87","73.87","","4.53%"
"11/15/2022","70.65","70.63","70.63","70.63","","3.44%"
"11/14/2022","68.30","68.28","68.28","68.28","","1.94%"
"11/11/2022","67.00","67.00","67.00","67.00","","-2.62%"
"11/10/2022","68.80","68.80","68.80","68.80","","2.76%"
"11/09/2022","66.95","66.95","66.95","66.95","","-6.36%"
"11/08/2022","71.50","71.50","71.50","71.50","","-6.11%"
"11/07/2022","76.15","76.13","76.13","76.13","","8.55%"
"11/04/2022","70.15","70.13","70.13","70.13","","4.47%"
"11/03/2022","67.15","67.13","67.13","67.13","","-5.95%"
"11/02/2022","71.40","71.38","71.38","71.38","","5.78%"
"11/01/2022","67.50","67.50","67.50","67.50","","33.27%"
"10/31/2022","50.65","50.65","50.65","50.65","","4.33%"
"10/28/2022","48.55","48.55","48.55","48.55","","-4.15%"
"10/27/2022","50.65","50.65","50.65","50.65","","-5.86%"
"10/26/2022","53.80","53.78","53.78","53.78","","-4.19%"
"10/25/2022","56.15","56.15","56.15","56.15","","3.98%"
"10/24/2022","54.00","54.00","54.00","54.00","","4.05%"
"10/21/2022","51.90","51.92","51.92","51.92","","-5.89%"
"10/20/2022","55.15","55.15","55.15","55.15","","-0.09%"
"10/19/2022","55.20","55.19","55.19","55.19","","-1.87%"
"10/18/2022","56.25","56.25","56.25","56.25","","-3.93%"
"10/17/2022","58.55","58.55","58.55","58.55","","-11.56%"
"10/14/2022","66.20","66.19","66.19","66.19","","-2.14%"
"10/13/2022","67.65","67.63","67.63","67.63","","3.36%"
"10/12/2022","65.45","65.45","65.45","65.45","","-1.28%"
"10/11/2022","66.30","66.28","66.28","66.28","","0.30%"
"10/10/2022","66.10","66.08","66.08","66.08","","-1.49%"
"10/07/2022","67.10","67.08","67.08","67.08","","-1.83%"
"10/06/2022","68.35","68.35","68.35","68.35","","1.33%"
"10/05/2022","67.45","67.45","67.45","67.45","","1.50%"
"10/04/2022","66.45","66.44","66.44","66.44","","3.42%"
"10/03/2022","64.25","64.25","64.25","64.25","","16.82%"
"09/30/2022","55.00","55.00","55.00","55.00","","-1.79%"
"09/29/2022","56.00","56.00","56.00","56.00","","-0.09%"
"09/28/2022","56.05","56.03","56.03","56.03","","-2.01%"
"09/27/2022","57.20","57.20","57.20","57.20","","-0.87%"
"09/26/2022","57.70","57.70","57.70","57.70","","-6.41%"
"09/23/2022","61.65","61.65","61.65","61.65","","-2.99%"
"09/22/2022","63.55","63.55","63.55","63.55","","-6.20%"
"09/21/2022","67.75","67.73","67.73","67.73","","-4.98%"
"09/20/2022","71.30","71.31","71.31","71.31","","-2.66%"
"09/19/2022","73.25","73.25","73.25","73.25","","-3.62%"
"09/16/2022","76.00","76.00","76.00","76.00","","-7.32%"
